iter	Passed	Remaining
0	7	7318
1	13	6589
2	17	5901
3	22	5721
4	27	5425
5	31	5212
6	36	5122
7	40	5080
8	45	4957
9	49	4884
10	54	4883
11	58	4813
12	62	4765
13	67	4745
14	71	4710
15	75	4657
16	79	4619
17	84	4611
18	88	4581
19	92	4552
20	97	4526
21	101	4518
22	105	4492
23	110	4481
24	115	4501
25	119	4478
26	124	4470
27	128	4448
28	132	4440
29	136	4425
30	141	4412
31	145	4408
32	150	4402
33	154	4390
34	158	4374
35	163	4369
36	167	4362
37	171	4354
38	176	4338
39	180	4341
40	185	4349
41	190	4342
42	195	4345
43	200	4347
44	204	4339
45	209	4344
46	213	4336
47	218	4324
48	222	4313
49	227	4313
50	231	4303
51	235	4291
52	239	4285
53	245	4292
54	249	4286
55	253	4274
56	258	4281
57	263	4273
58	267	4265
59	272	4268
60	276	4260
61	280	4250
62	285	4243
63	290	4241
64	294	4231
65	298	4221
66	302	4212
67	317	4346
68	321	4334
69	325	4318
70	329	4309
71	335	4319
72	339	4313
73	344	4307
74	348	4296
75	353	4291
76	357	4281
77	361	4269
78	365	4258
79	369	4248
80	373	4235
81	377	4228
82	382	4221
83	386	4213
84	391	4209
85	395	4200
86	400	4198
87	404	4191
88	408	4183
89	413	4177
90	417	4168
91	421	4158
92	425	4149
93	430	4145
94	434	4136
95	438	4126
96	442	4117
97	447	4115
98	451	4106
99	455	4097
100	459	4088
101	464	4085
102	468	4078
103	472	4070
104	478	4077
105	482	4071
106	486	4062
107	490	4055
108	495	4049
109	499	4041
110	503	4033
111	508	4029
112	512	4025
113	517	4018
114	521	4013
115	526	4009
116	530	4002
117	534	3995
118	539	3992
119	543	3984
120	547	3978
121	551	3971
122	556	3966
123	560	3959
124	565	3955
125	569	3947
126	573	3942
127	582	3965
128	586	3959
129	590	3952
130	595	3950
131	600	3945
132	604	3940
133	609	3939
134	613	3931
135	617	3924
136	622	3922
137	627	3918
138	631	3914
139	637	3913
140	642	3914
141	648	3918
142	654	3921
143	659	3923
144	666	3928
145	672	3931
146	677	3930
147	683	3933
148	688	3932
149	693	3931
150	699	3934
151	705	3933
152	710	3934
153	716	3938
154	722	3937
155	727	3935
156	733	3936
157	738	3935
158	743	3932
159	749	3933
160	754	3930
161	758	3926
162	763	3922
163	768	3916
164	772	3910
165	777	3904
166	781	3898
167	785	3891
168	789	3884
169	794	3880
170	799	3875
171	803	3870
172	807	3860
173	811	3854
174	816	3847
175	820	3840
176	825	3836
177	829	3828
178	833	3822
179	837	3815
180	842	3814
181	847	3809
182	852	3805
183	858	3805
184	862	3800
185	866	3793
186	871	3789
187	875	3783
188	880	3776
189	884	3769
190	888	3764
191	892	3757
192	896	3750
193	901	3745
194	905	3739
195	909	3732
196	913	3725
197	918	3720
198	922	3714
199	926	3707
200	930	3699
201	935	3693
202	938	3686
203	942	3679
204	947	3673
205	964	3716
206	968	3710
207	972	3703
208	976	3695
209	980	3687
210	984	3682
211	988	3675
212	993	3669
213	997	3665
214	1001	3658
215	1006	3654
216	1010	3647
217	1015	3642
218	1019	3636
219	1023	3630
220	1028	3626
221	1033	3621
222	1037	3615
223	1042	3610
224	1046	3605
225	1051	3599
226	1055	3593
227	1059	3587
228	1064	3584
229	1068	3578
230	1073	3572
231	1077	3567
232	1082	3564
233	1087	3560
234	1092	3556
235	1096	3549
236	1100	3543
237	1104	3537
238	1109	3531
239	1113	3525
240	1117	3520
241	1122	3515
242	1127	3511
243	1132	3507
244	1137	3503
245	1142	3501
246	1146	3495
247	1151	3490
248	1156	3486
249	1160	3480
250	1164	3475
251	1168	3469
252	1173	3465
253	1178	3461
254	1183	3457
255	1187	3452
256	1192	3446
257	1196	3441
258	1201	3437
259	1205	3431
260	1210	3426
261	1214	3421
262	1219	3417
263	1223	3411
264	1228	3407
265	1233	3402
266	1237	3397
267	1240	3388
268	1245	3383
269	1249	3379
270	1254	3373
271	1258	3367
272	1262	3361
273	1267	3357
274	1271	3352
275	1275	3346
276	1280	3341
277	1285	3338
278	1289	3333
279	1293	3327
280	1298	3322
281	1302	3316
282	1306	3310
283	1311	3306
284	1316	3301
285	1320	3296
286	1324	3290
287	1329	3287
288	1333	3281
289	1337	3275
290	1342	3271
291	1347	3267
292	1351	3261
293	1356	3257
294	1361	3254
295	1366	3249
296	1370	3243
297	1375	3240
298	1380	3235
299	1384	3230
300	1388	3224
301	1393	3220
302	1397	3215
303	1402	3210
304	1407	3207
305	1412	3203
306	1416	3197
307	1421	3192
308	1424	3186
309	1429	3182
310	1434	3177
311	1436	3167
312	1442	3165
313	1446	3161
314	1451	3156
315	1456	3153
316	1463	3153
317	1469	3151
318	1474	3148
319	1479	3144
320	1485	3141
321	1490	3139
322	1495	3135
323	1501	3132
324	1506	3129
325	1511	3125
326	1516	3121
327	1523	3120
328	1528	3117
329	1534	3114
330	1539	3111
331	1544	3106
332	1548	3102
333	1553	3098
334	1558	3093
335	1563	3089
336	1568	3085
337	1572	3080
338	1577	3075
339	1582	3071
340	1586	3065
341	1590	3060
342	1596	3057
343	1600	3052
344	1604	3046
345	1609	3041
346	1613	3036
347	1617	3031
348	1622	3025
349	1626	3020
350	1630	3015
351	1635	3010
352	1639	3004
353	1643	2999
354	1648	2994
355	1652	2989
356	1656	2983
357	1661	2979
358	1665	2973
359	1668	2966
360	1672	2961
361	1676	2955
362	1681	2950
363	1685	2945
364	1690	2940
365	1694	2935
366	1698	2930
367	1703	2924
368	1707	2920
369	1712	2915
370	1716	2910
371	1721	2906
372	1726	2902
373	1728	2893
374	1733	2889
375	1738	2885
376	1743	2880
377	1747	2875
378	1751	2870
379	1756	2865
380	1760	2860
381	1764	2855
382	1769	2851
383	1774	2846
384	1778	2841
385	1782	2835
386	1815	2875
387	1822	2874
388	1829	2873
389	1837	2873
390	1844	2873
391	1852	2873
392	1858	2869
393	1864	2867
394	1870	2865
395	1877	2863
396	1883	2860
397	1889	2858
398	1895	2854
399	1900	2850
400	1906	2848
401	1912	2844
402	1916	2839
403	1921	2835
404	1927	2831
405	1932	2826
406	1936	2822
407	1941	2817
408	1946	2813
409	1951	2808
410	1955	2802
411	1960	2798
412	1966	2794
413	1970	2789
414	1975	2784
415	1980	2780
416	1985	2775
417	1989	2770
418	1994	2765
419	1999	2761
420	2004	2756
421	2009	2752
422	2013	2747
423	2018	2741
424	2023	2737
425	2027	2732
426	2032	2726
427	2036	2721
428	2041	2716
429	2045	2711
430	2050	2707
431	2055	2702
432	2059	2697
433	2064	2692
434	2069	2688
435	2074	2683
436	2079	2678
437	2084	2675
438	2089	2670
439	2094	2666
440	2099	2661
441	2104	2657
442	2109	2651
443	2113	2647
444	2118	2642
445	2123	2637
446	2127	2632
447	2132	2627
448	2137	2622
449	2141	2617
450	2146	2612
451	2151	2608
452	2156	2603
453	2160	2598
454	2165	2594
455	2170	2589
456	2176	2585
457	2181	2581
458	2185	2576
459	2190	2571
460	2196	2568
461	2201	2563
462	2206	2559
463	2211	2554
464	2215	2549
465	2220	2544
466	2224	2538
467	2229	2534
468	2234	2530
469	2239	2524
470	2243	2520
471	2248	2515
472	2252	2509
473	2257	2504
474	2262	2500
475	2267	2495
476	2271	2491
477	2277	2486
478	2282	2482
479	2287	2478
480	2292	2473
481	2296	2468
482	2301	2463
483	2306	2458
484	2310	2453
485	2315	2448
486	2320	2444
487	2325	2439
488	2330	2435
489	2335	2430
490	2340	2426
491	2345	2421
492	2350	2416
493	2354	2412
494	2360	2407
495	2365	2403
496	2370	2399
497	2376	2395
498	2380	2390
499	2385	2385
500	2390	2380
501	2394	2375
502	2399	2370
503	2404	2365
504	2408	2361
505	2413	2356
506	2418	2351
507	2422	2346
508	2427	2341
509	2432	2337
510	2437	2332
