protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,srv_rerror_rate,dst_host_count,dst_host_srv_count,class
1,42,1,0.0,0.0,229.0,10.0,1.0,255,10,0
1,42,1,0.0,0.0,136.0,1.0,1.0,255,1,0
1,52,4,129.0,174.0,1.0,1.0,0.0,255,255,0
1,16,4,26.0,157.0,1.0,1.0,0.0,52,26,0
1,52,4,0.0,0.0,1.0,1.0,0.0,255,128,0
1,42,1,0.0,0.0,111.0,2.0,1.0,255,2,0
1,20,4,213.0,659.0,24.0,24.0,0.0,255,255,1
1,20,4,246.0,2090.0,16.0,16.0,0.0,35,255,1
1,42,1,0.0,0.0,204.0,18.0,1.0,255,18,0
1,26,1,0.0,0.0,118.0,19.0,1.0,255,19,0
1,20,4,196.0,1823.0,17.0,17.0,0.0,255,255,1
1,3,1,0.0,0.0,116.0,8.0,1.0,255,8,0
1,7,2,0.0,0.0,273.0,13.0,1.0,255,13,0
1,20,4,300.0,440.0,7.0,7.0,0.0,255,255,1
1,29,1,0.0,0.0,266.0,8.0,1.0,255,8,0
1,23,1,0.0,0.0,239.0,7.0,1.0,255,7,0
1,42,1,0.0,0.0,201.0,3.0,1.0,255,3,0
1,20,4,229.0,509.0,1.0,1.0,0.0,21,255,1
1,22,1,0.0,0.0,280.0,8.0,1.0,255,8,0
2,42,4,105.0,146.0,2.0,2.0,0.0,9,9,0
1,20,4,282.0,396.0,8.0,8.0,0.0,255,255,1
1,20,4,233.0,2239.0,3.0,3.0,0.0,255,197,1
1,20,4,214.0,645.0,30.0,30.0,0.0,255,255,1
1,42,1,0.0,0.0,109.0,13.0,1.0,255,13,0
1,20,4,203.0,651.0,19.0,19.0,0.0,255,255,1
1,42,1,0.0,0.0,216.0,14.0,1.0,255,14,0
1,20,4,307.0,484.0,2.0,2.0,0.0,10,255,1
1,4,1,0.0,0.0,251.0,3.0,1.0,255,3,0
1,20,4,215.0,430.0,1.0,1.0,0.0,40,255,1
1,20,4,270.0,1332.0,2.0,2.0,0.0,7,255,1
1,42,1,0.0,0.0,231.0,6.0,1.0,255,6,0
1,20,4,219.0,1310.0,4.0,4.0,0.0,4,251,1
1,20,4,258.0,1012.0,26.0,26.0,0.0,255,255,1
1,15,2,0.0,0.0,58.0,19.0,1.0,255,62,0
1,42,1,0.0,0.0,103.0,4.0,1.0,255,4,0
1,38,1,0.0,0.0,1.0,1.0,1.0,255,13,0
1,46,4,0.0,83.0,1.0,1.0,0.0,110,25,1
1,56,2,0.0,0.0,119.0,7.0,1.0,255,7,0
1,16,4,26.0,157.0,1.0,1.0,0.0,155,71,0
1,42,1,0.0,0.0,217.0,6.0,1.0,255,6,0
1,42,1,0.0,0.0,106.0,15.0,1.0,255,15,0
1,42,1,0.0,0.0,239.0,12.0,1.0,255,12,0
1,20,4,197.0,1830.0,2.0,2.0,0.0,26,229,1
1,42,1,0.0,0.0,117.0,10.0,1.0,255,10,0
1,20,4,230.0,843.0,25.0,25.0,0.0,25,255,1
1,42,1,0.0,0.0,228.0,15.0,1.0,255,15,0
1,59,1,0.0,0.0,282.0,17.0,1.0,255,17,0
2,42,4,48.0,0.0,5.0,5.0,0.0,255,254,0
1,42,1,0.0,0.0,132.0,12.0,1.0,255,12,0
1,52,4,124.0,174.0,2.0,2.0,0.0,255,255,0
1,42,1,0.0,0.0,218.0,19.0,1.0,255,19,0
2,42,4,43.0,0.0,1.0,1.0,0.0,255,254,0
1,20,4,218.0,287.0,15.0,15.0,0.0,255,255,1
1,42,1,0.0,0.0,131.0,5.0,1.0,255,5,0
1,42,1,0.0,0.0,269.0,7.0,1.0,255,7,0
1,42,1,0.0,0.0,109.0,5.0,1.0,255,5,0
1,52,2,124.0,188.0,1.0,1.0,1.0,255,254,0
1,42,1,0.0,0.0,267.0,11.0,1.0,255,11,0
1,29,1,0.0,0.0,286.0,18.0,1.0,255,18,0
1,42,1,0.0,0.0,273.0,3.0,1.0,255,3,0
1,42,2,0.0,0.0,198.0,1.0,1.0,255,1,0
1,42,1,0.0,0.0,242.0,2.0,1.0,255,2,0
1,42,1,0.0,0.0,272.0,14.0,1.0,255,14,0
1,52,4,121.0,174.0,1.0,1.0,0.0,255,120,0
1,20,4,205.0,398.0,20.0,20.0,0.0,255,255,1
1,42,1,0.0,0.0,148.0,1.0,1.0,255,1,0
1,27,1,0.0,0.0,233.0,17.0,1.0,255,17,0
1,42,1,0.0,0.0,139.0,17.0,1.0,255,17,0
